Menomonie,UW Stout Clocktower Plaze to Wilson Park and to the Children at Play sculpture,WI,,413
Merced,Courthouse Park,CA,,414
Meridian,Storey Park,ID,,415
Miami,Tropical Park,FL,,416
Miami,Miami Dade Wolfson Campus to Freedom Tower,FL,,417
Middletown,Union Green,CT,,418
Midland,Midland Park Mall,TX,,419
Milford,City Hall,CT,,420
Milford,Town Hall,MA,,421
Milford,,PA,,422
Milltown,St. Barnabas Episcopal Church,DE,,423
Milwaukee,517 E Wisconsin Ave,WI,,424
Mineral Point,Water Tower Park,WI,,425
Minneapolis,Minneapolis Convention Center,MN,,426
Minocqua,Downtown Minocqua. Meet in Municipal Parking Lot next to Veteran's Park & Post Office,WI,,427
Missoula,Missoula County Courthouse,MT,,428
Mobile,Public Safety Memorial Park,AL,,429
Modesto,Five Points,CA,,430
Monterey,Windows on the Bay,CA,,431
Monticello,,NY,,432
Montgomery,Capitol Sidewalk Dexter Ave,AL,,433
Montrose,Corner of Main Street and Townsend Avenue,CO,,434
Morehead,Fountain Park,KY,,435
Moreno Valley,Cardenas Market,CA,,436
Morgan Hill,Morgan Hill Community and Cultural Center,CA,,437
Morganton,,NC,,438
Mount Vernon,Skagit County courthouse,WA,,439
Mountain View,Civic Center Plaza,CA,,440
Murfreesboro,outside Rep Scott Desjarlais' office,TN,,441
Muscatine,Muscatine Riverside Park - By the Playground,IA,,442
Muskegon,Hackley Park,MI,,443
Myrtle Beach,Valor Memorial Park,SC,,444
Nacogdoches,Banita Creek Park,TX,,445
Nags Head,Dowdy Park and Nags Head Beach,NC,,446
Nantucket,Intersection of South Water St. and Broad St. Nantucket,MA,,447
Napa,Veterans Memorial Park,CA,,448
Naples,Collier County Jail,FL,,449
Nashua,Greeley Park Bandshell side of the Park,NH,,450
Nashville,Centennial Park,TN,,451
Natick,Natick Common,MA,,452
National City,,CA,,453
New Bedford,Bethel AME Church,MA,,454
New Brunswick,New Brunswick City Hall,NJ,,455
New City,Rockland County Courthouse,NY,,456
New London,Williams Park,CT,,457
New Orleans,Congo Square,LA,,458
New Paltz,in front of Elting Memorial Library,NY,,459
New Port Richey,Near Walmart on US 19 @ Ridge Rd,FL,,460
New Rochelle,New Rochelle United Methodist Church,NY,,461
New York,Foley Square to Brooklyn Bridge,NY,,462
New York,666 5th Avenue; near Trump Tower,NY,,463
New York,Jackson Heights; Corona; Queens,NY,,464
Newark,Newark City Hall,NJ,,465
Newburyport,Market Square,MA,,466
Newport News,Rouse Tower ,VA,,467
Newton,Old Newton Courthouse Lawn; Catawba County Museum of History,NC,,468
Nogales,1904 Courthouse,AZ,,469
Norfolk,US Customs and Border Patrol Office,VA,,470
Norfolk,Shoop Park,VA,,471
Norristown,steps of Montgomery County Courthouse,PA,,472
North Dartmouth,Bristol County House of Corrections,MA,,473
North Truro,Rt 6 and Shore Rd,MA,,474
Northborough,Ellsworth Park,MA,,475
Norwalk,Downtown Norwalk,OH,,476
Oakland,Near Lake Merritt,CA,,477
Oberlin,,OH,,478
Ocracoke,,NC,,479
Ojai,Libbey Park,CA,,480
Oklahoma City,Oklahoma State Capitol,OK,,481
Okoboji,Okoboji bridge between West Lake and East Lake,IA,,482
Olympia,"Capitol Campus, Legislative Steps",WA,,483
Omaha,Plaza de la Raza,NE,,484
Onalaska,Caribou coffee,WI,,485
Onancock,,VA,,486
Orlando,Outside Orlando City Hall,FL,,487
Orleans,Orleans Ma. rotary,MA,,488
Oshkosh,Main Street Sundial,WI,,489
Oswego,Corner of W Bridge & W First Streets,NY,,490
Ottawa,Jordan Block,IL,,491
Oxford,Memorial Park,OH,,492
Oxnard,Collections Shopping Center,CA,,493
Palm Springs,Frances Stevens Park,CA,,494
Palmetto Bay,Coral Reef Park,FL,,495
Palo Alto,El Camino Real and Embarcadero Road,CA,,496
Panama City,Hathaway Bridge,FL,,497
Paonia,,CO,,498
Paris,Culbertson Fountain on the Downtown Square,TX,,499
Parkersburg,Bicentennial Park,WV,,500
Pasadena,Pasadena City College,CA,,501
Payson,Intersection of highway 87 and 260,AZ,,502
Peabody,Temple Tiferet Shalom,MA,,503
Pensacola,City Hall,FL,,504
Peterborough,,NH,,505
Peoria,Federal Building and U.S. Courthouse,IL,,506
Petaluma,"Petaluma Mail Depot , parking lot (4th & C streets)",CA,,507
Petoskey,"People's Park - ""Hole in the Ground""",MI,,508
Philadelphia,Philadelphia City Hall North Plaza,PA,,509
Phoenix,Arizona Senate,AZ,,510
Piedmont,Montclair Park,CA,,511
Pikeville,"University of Pikeville, at the bottom of the 99 Steps",KY,,512
Pinedale,Jackie Downie's House,WY,,513
Pinetop,White Mountain Blvd.,AZ,,514
Pittsboro,"Historic Courthouse, Downtown Pittsboro",NC,,515
Pittsburg,John Buckley Square,CA,,516
Pittsburgh,Mellon Square,PA,,517
Pittsfield,Park Square,MA,,518
Plattsburgh,Downtown Plattsburgh,NY,,519
Pleasanton,Delucchi Park,CA,,520
Pocatello,Caldwell Park,ID,,521
Point Arena,In front of our threatened Point Arena Post Office,CA,,522
Pontiac,Pontiac Public Library,MI,,523
Poolesville,Whalen Commons,MD,,524
Port Angeles,"Port Angeles Border Patrol Station (lawn, outside gates)",WA,,525
Port Clinton,,OH,,526
Port Huron,ICE Detention Center,MI,,527
Portland,Portland City Hall,ME,,528
Portland,North Park Blocks,OR,,529
Portsmouth,Market Square in front of the North Church downtown,NH,,530
Portsmouth,Tracy Park,OH,,531
Potsdam,Potsdam Presbyterian Church,NY,,532
Prescott,Prescott Square,AZ,,533
Presque Isle,Outside Hardscrabble Solutions,ME,,534
Princeton,Hinds Plaza,NJ,,535
Prospect Harbor,in front of Gouldsboro Town Office,ME,,536
Providence,State House,RI,,537
Providence,Pontiac Ave,RI,,538
Provincetown,Town Hall,MA,,539
Provo,steps of Historic Utah County Courthouse,UT,,540
Pueblo,Pueblo County Courthouse,CO,,541
Pullman,Cougar Plaza to Reaney Park,WA,,542
